"","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"3",3,2173,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 2","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"oral swab","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"5",5,2177,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Lonchorhina aurita","alphacoronavirus","","","","Mex Cov 3","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Lonchorhina aurita","Lonchorhina aurita","viral diversity of bat communities in human-dominated landscapes in mexico"
"6",6,2178,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 5a","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis","Artibeus jamaicensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"7",7,2182,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,142,1,0.007042,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 5a","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis","Artibeus jamaicensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"8",8,2183,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,142,1,0.007042,"Eptesicus fuscus","alphacoronavirus","","","","Mex Cov 6","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"blood","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","blood or serum","sera",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Eptesicus fuscus","Eptesicus fuscus","viral diversity of bat communities in human-dominated landscapes in mexico"
"9",9,2184,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,293,1,0.003413,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"oral swab","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"10",10,2186,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,293,1,0.003413,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Chiapas","Montes Azules",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"11",11,2190,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,152,2,0.013158,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 5b","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis","Artibeus jamaicensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"12",12,2191,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,152,3,0.019737,"Artibeus lituratus","alphacoronavirus","","","","Mex Cov 5b","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Artibeus lituratus","Artibeus lituratus","viral diversity of bat communities in human-dominated landscapes in mexico"
"16",16,2196,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Carollia perspicillata","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia perspicillata","Carollia perspicillata","viral diversity of bat communities in human-dominated landscapes in mexico"
"17",17,2197,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,65,3,0.046154,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 1 (1), Mex Cov 2 (1), Mex Cov 5b (1)","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/25/2022 8:36pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"18",18,2201,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 4","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis","Artibeus jamaicensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"20",20,2204,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,102,1,0.009804,"Carollia perspicillata","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia perspicillata","Carollia perspicillata","viral diversity of bat communities in human-dominated landscapes in mexico"
