tissue type,alpha_or_beta_n,alpha_or_beta_percent_positive_prevalence,alpha_or_beta_percent_zero_prevalence,alphacov_only_n,alphacov_only_percent_positive_prevalence,alphacov_only_percent_zero_prevalence,betacov_only_n,betacov_only_percent_positive_prevalence,betacov_only_percent_zero_prevalence,,
"fecal, rectal, or anal",1064,40.23,59.77,872,28.90,71.10,771,19.97,80.03,,
liver ,2,100,0,0,NA,NA,2,100,0,,
blood or serum,3,0,100,3,0,100,3,0,100,,
intestine,184,39.67,60.33,144,22.92,77.08,145,23.45,76.55,,
lung or respiratory ,74,9.46,90.54,66,6.06,93.94,70,4.29,95.71,,
oropharyngeal ,106,8.49,91.51,100,7.00,93.00,98,2.04,97.96,,
skin swab,11,0,100,11,0,100,11,0,100,,
urinary,47,4.25,95.75,47,4.25,95.75,45,0,100,,
pooled  swabs/samples,319,33.23,66.77,269,21.19,78.81,247,16.04,83.96,,
pooled tissue,49,28.57,71.43,44,20.45,79.55,40,12.50,87.50,,
,,,,,,,,,,,
