"","X1","ratio","SE","df","null","z.ratio","p.value"
"1","Africa / Americas",0.90784959516948,0.0139372667334265,Inf,1,-6.29734480166685,3.36430293650185e-10
"2","Africa / Asia",0.412610863246831,0.00422168112946769,Inf,1,-86.520961643645,0
"3","Africa / Europe",1.91335827082892,0.0277635510093349,Inf,1,44.7169586234537,0
"4","Africa / Oceania",0.830102264884881,0.0188335263903576,Inf,1,-8.2071902246758,2.83030860322669e-16
"5","Americas / Asia",0.45449253427249,0.00625168669467408,Inf,1,-57.3286728164604,0
"6","Americas / Europe",2.10757187204751,0.036203241611685,Inf,1,43.401411450112,0
"7","Americas / Oceania",0.914361001317531,0.0223836771685948,Inf,1,-3.65724417849853,0.000254941494446338
"8","Asia / Europe",4.63719800242949,0.0593990725713924,Inf,1,119.76572922923,0
"9","Asia / Oceania",2.01182842921976,0.0435355441992022,Inf,1,32.3036398821797,8.8831759862673e-229
"10","Europe / Oceania",0.433845703410925,0.0103955200512016,Inf,1,-34.8505834851328,6.95313646152903e-266
