global region_country,number_of_studies_alphaorbeta,number_of_samples_analyzed_alphaorbeta,percentage_of_dataset_alphaorbeta,number_of_studies_alphaonly,number_of_samples_analyzed_alphaonly,percentage_of_dataset_alphaonly,number_of_studies_betaonly,number_of_samples_analyzed_betaonly,percentage_of_dataset_betaonly,,,,,,,,,,,
Africa_Egypt,2,1507,1.68,0,0,0,2,1425,7.70,,,,,,,,,,,
Africa_Gabon,1,1123,1.25,1,158,0.62,1,16,0.09,,,,,,,,,,,
Africa_Ghana,3,7221,8.06,2,1904,7.45,2,225,1.22,,,,,,,,,,,
Africa_Guinea,1,782,0.87,1,302,1.18,1,363,1.96,,,,,,,,,,,
Africa_Kenya,3,2965,3.31,3,1192,4.66,3,490,2.65,,,,,,,,,,,
Africa_Madagascar,2,1085,1.21,1,22,0.09,2,123,0.66,,,,,,,,,,,
Africa_Mauritius,1,56,0.06,0,0,0,0,0,0,,,,,,,,,,,
Africa_Morocco,1,15,0.02,1,3,0.01,0,0,0,,,,,,,,,,,
Africa_Mozambique,1,264,0.29,1,226,0.88,1,14,0.08,,,,,,,,,,,
Africa_Nigeria,1,79,0.09,0,0,0,1,79,0.43,,,,,,,,,,,
Africa_Rwanda,1,541,0.6,1,22,0.09,1,158,0.85,,,,,,,,,,,
Africa_Seychelles,1,50,0.06,0,0,0,0,0,0,,,,,,,,,,,
Africa_SouthAfrica,2,110,0.12,1,26,0.1,1,1,0.01,,,,,,,,,,,
Africa_Tunisia,1,10,0.01,1,8,0.03,0,0,0,,,,,,,,,,,
Americas_Brazil,4,957,1.07,3,547,2.14,2,90,0.49,,,,,,,,,,,
Americas_Canada,3,442,0.49,3,442,1.73,0,0,0,,,,,,,,,,,
Americas_CostaRica,1,404,0.45,1,162,0.63,0,0,0,,,,,,,,,,,
Americas_Mexico,2,3922,4.38,2,2571,10.06,2,944,5.10,,,,,,,,,,,
Americas_Trinidad,1,112,0.13,1,14,0.05,0,0,0,,,,,,,,,,,
Americas_UnitedStatesofAmerica,2,1059,1.18,2,502,1.96,0,0,0,,,,,,,,,,,
Asia_Cambodia,1,173,0.19,1,64,0.25,1,63,0.34,,,,,,,,,,,
Asia_China,32,45430,50.72,19,9999,39.11,28,11102,60.00,,,,,,,,,,,
Asia_India,1,668,0.75,0,0,0,1,341,1.84,,,,,,,,,,,
Asia_Indonesia,2,80,0.09,0,0,0,1,17,0.09,,,,,,,,,,,
Asia_Japan,2,158,0.18,1,120,0.47,1,27,0.15,,,,,,,,,,,
Asia_Laos,1,59,0.07,0,0,0,0,0,0,,,,,,,,,,,
Asia_Lebanon,1,451,0.5,0,0,0,1,441,2.39,,,,,,,,,,,
Asia_MalaysianBorneo,1,365,0.41,0,0,0,0,0,0,,,,,,,,,,,
Asia_Myanmar,1,666,0.74,1,108,0.42,0,0,0,,,,,,,,,,,
Asia_Philippines,2,283,0.32,2,5,0.02,2,209,1.13,,,,,,,,,,,
Asia_SaudiArabia,1,1262,1.41,1,532,2.08,1,259,1.40,,,,,,,,,,,
Asia_Singapore,1,1555,1.74,0,0,0,0,0,0,,,,,,,,,,,
Asia_SouthKorea,2,684,0.76,1,4,0.02,2,83,0.45,,,,,,,,,,,
Asia_SriLanka,1,50,0.06,0,0,0,1,50,0.27,,,,,,,,,,,
Asia_Taiwan,4,625,0.7,3,219,0.86,1,50,0.27,,,,,,,,,,,
Asia_Thailand,3,2812,3.14,3,898,3.51,3,615,3.32,,,,,,,,,,,
Asia_Vietnam,2,593,0.66,2,293,1.15,1,45,0.24,,,,,,,,,,,
Australia,4,2273,2.54,3,1232,4.82,1,159,0.86,,,,,,,,,,,
New Zealand,1,4,0,1,4,0.02,0,0,0,,,,,,,,,,,
Europe_Belgium,1,142,0.16,0,0,0,0,0,0,,,,,,,,,,,
Europe_Bulgaria,1,1201,1.34,1,743,2.91,1,383,2.07,,,,,,,,,,,
Europe_Denmark,1,271,0.3,1,213,0.83,0,0,0,,,,,,,,,,,
Europe_Finland,1,78,0.09,1,38,0.15,1,22,0.11,,,,,,,,,,,
Europe_France,4,1896,2.12,4,504,1.97,0,0,0,,,,,,,,,,,
Europe_Germany,4,1635,1.83,3,1209,4.73,0,0,0,,,,,,,,,,,
Europe_Hungary,1,447,0.5,1,168,0.66,1,3,0.02,,,,,,,,,,,
Europe_Italy,6,1197,1.34,2,463,1.81,6,352,1.90,,,,,,,,,,,
Europe_Luxembourg,1,254,0.28,1,88,0.34,1,77,0.42,,,,,,,,,,,
Europe_Netherlands,2,225,0.25,1,177,0.69,1,8,0.04,,,,,,,,,,,
Europe_Romania,1,172,0.19,0,0,0,1,172,0.93,,,,,,,,,,,
Europe_Slovenia,1,106,0.12,0,0,0,1,36,0.19,,,,,,,,,,,
Europe_Spain,2,923,1.03,2,323,1.26,2,56,0.30,,,,,,,,,,,
Europe_Ukraine,1,19,0.02,0,0,0,1,6,0.03,,,,,,,,,,,
Europe_UnitedKingdom,1,112,0.12,1,62,0.24,0,0,0,,,,,,,,,,,
