"","UniqueID","Field.25","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","Primers","gene_targets","Terminal.sampling.","tissue","country","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Entered.by","Last.modified","euthanasia"
"1",1,"a coronavirus detected in the vampire bat desmodus rotundus","Brandão et al.","Braz J Infect Dis",2008,3,1,0.333333,"Desmodus rotundus","betacoronavirus ","","bat","BatCoV DR/2007","pooled","cross-sectional","RNA","RT-PCR,nested RT-PCR","multiple",NA,"ORF 1b",NA,"enteric content","Brazil","Sao Paulo","","","","2005","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:59am","Y"
"2",2,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""","Subudhi et al.","J Gen Virol",2017,47,17,0.361702,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"intestines","Canada","Manitoba","","","","2011","","",NA,"","winter",NA,"","","","VERENA Admin","7/19/2021 10:59am","Y"
"3",3,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""","Subudhi et al.","J Gen Virol",2017,127,36,0.283465,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"intestines","Canada","Manitoba","","","","2012","","",NA,"","winter",NA,"","","","VERENA Admin","7/19/2021 10:59am","Y"
"4",4,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""","Subudhi et al.","J Gen Virol",2017,174,5,0.028736,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","pooled","longitudinal","IHC","","",NA,"",NA,"lung","Canada","Manitoba","","","","","2011","",2012,"","winter",NA,"","","","VERENA Admin","7/19/2021 10:59am","Y"
"5",9,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,11,10,0.909091,"Rhinolophus ferrumequinum","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Modena ","San Cesario sul Panaro","","","2009","","",NA,"","August",NA,"","","","Binqi Chen","3/13/2021 4:57pm","N"
"6",10,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,1,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Perugia","Sigillo","","","2009","","",NA,"","September",NA,"","","","VERENA Admin","7/19/2021 9:50am","N"
"7",11,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,2,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Bologna","Monte Croara, S. Lazzaro","","","2009","","",NA,"","October",NA,"","","","VERENA Admin","7/19/2021 9:51am","N"
"8",12,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,10,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Cuneo","Piobesi d’Alba","","","2009","","",NA,"","October",NA,"","","","VERENA Admin","7/19/2021 9:51am","N"
"9",13,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,12,3,0.25,"Rhinolophus ferrumequinum","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Cuneo","Rossana","","","2009","","",NA,"","October",NA,"","","","VERENA Admin","7/19/2021 9:51am","N"
"10",14,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,3,3,1,"Rhinolophus ferrumequinum","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Savona","Giovo","","","2009","","",NA,"","October",NA,"","","","VERENA Admin","7/19/2021 9:50am","N"
