"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","method_specific_simplified","species_for_reader"
"1",2957,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,4,0.010899,"Pteropus lylei","alphacoronavirus","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 1:58pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","PCR","Pteropus lylei"
"2",2958,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,64,0.174387,"Pteropus lylei","betacoronavirus ","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 5:25pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","PCR","Pteropus lylei"
"3",2173,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Carollia sowelli","alphacoronavirus","","","Mex Cov 2","single","cross-sectional","RNA","RT-PCR","single","",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia sowelli"
"4",2174,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Artibeus phaeotis","betacoronavirus ","","","Mex Cov 11a","single","cross-sectional","RNA","RT-PCR","single","",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal",NA,NA,NA,NA,NA,NA,"No","PCR","Dermanura phaeotis"
"5",2175,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Artibeus phaeotis","betacoronavirus ","","","Mex Cov 11b","single","cross-sectional","RNA","RT-PCR","single","",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal",NA,NA,NA,NA,NA,NA,"No","PCR","Dermanura phaeotis"
"6",2177,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Lonchorhina aurita","alphacoronavirus","","","Mex Cov 3","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Lonchorhina aurita"
"7",2178,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Artibeus jamaicensis","alphacoronavirus","","","Mex Cov 5a","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Artibeus jamaicensis"
"8",2182,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,142,1,0.007042,"Artibeus jamaicensis","alphacoronavirus","","","Mex Cov 5a","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Artibeus jamaicensis"
"9",2183,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,142,1,0.007042,"Eptesicus fuscus","alphacoronavirus","","","Mex Cov 6","single","cross-sectional","RNA","RT-PCR","single","",NA,"blood","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","blood or serum",NA,NA,NA,NA,NA,NA,"No","PCR","Eptesicus fuscus"
"10",2184,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,293,1,0.003413,"Carollia sowelli","alphacoronavirus","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia sowelli"
"11",2186,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,293,1,0.003413,"Carollia sowelli","alphacoronavirus","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia sowelli"
"12",2190,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,152,2,0.013158,"Artibeus jamaicensis","alphacoronavirus","","","Mex Cov 5b","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Artibeus jamaicensis"
"13",2191,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,152,3,0.019737,"Artibeus lituratus","alphacoronavirus","","","Mex Cov 5b","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Artibeus lituratus"
"14",2192,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,152,1,0.006579,"Artibeus lituratus","betacoronavirus ","","","Mex Cov 11b","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Artibeus lituratus"
"15",2193,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,152,1,0.006579,"Artibeus phaeotis","betacoronavirus ","","","Mex Cov 11b","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Dermanura phaeotis"
"16",2195,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,152,1,0.006579,"Pteronotus parnellii","betacoronavirus ","","","Mex Cov 10","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Pteronotus parnellii"
"17",2196,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Carollia perspicillata","alphacoronavirus","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia perspicillata"
"18",2197,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Carollia sowelli","alphacoronavirus","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia sowelli"
"19",2198,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Carollia sowelli","alphacoronavirus","","","Mex Cov 2","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia sowelli"
"20",2199,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Carollia sowelli","alphacoronavirus","","","Mex Cov 5b","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia sowelli"
"21",2201,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Artibeus jamaicensis","alphacoronavirus","","","Mex Cov 4","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Artibeus jamaicensis"
"22",2203,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Nyctinomops laticaudatus","betacoronavirus ","","","Mex Cov 9","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Nyctinomops laticaudatus"
"23",2204,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,102,1,0.009804,"Carollia perspicillata","alphacoronavirus","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","",NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal",NA,NA,NA,NA,NA,NA,"No","PCR","Carollia perspicillata"
