UniqueID,Field 25,author (from Imported table 2),journal (from Imported table 2),year (from Imported table 2),sample,positives,prevalence,bat_species,virus_genus,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single/multiple PCR method,Primers,gene_targets,Terminal sampling?,tissue,country,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,# Sampling Trips,Sex Info?,Habitat Disturbance Info?,Coinfection Info?,Flag,Entered by,Last modified
2957,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,367,4,0.010899,Pteropus lylei,alphacoronavirus,,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,,RdRp,,rectal swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",,,2012,,January,,December,,,,,,only use these two rows for prevalence estimates,VERENA Admin,1/13/2022 1:32pm
2958,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,367,64,0.174387,Pteropus lylei,betacoronavirus ,,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,,RdRp,,rectal swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",,,2012,,January,,December,,,,,,only use these two rows for prevalence estimates,VERENA Admin,1/13/2022 1:32pm
1,a coronavirus detected in the vampire bat desmodus rotundus,Brandão et al.,Braz J Infect Dis,2008,3,1,0.333333,Desmodus rotundus,betacoronavirus ,,bat,BatCoV DR/2007,pooled,cross-sectional,RNA,"RT-PCR,nested RT-PCR",multiple,,ORF 1b,,enteric content,Brazil,Sao Paulo,,,,2005,,,,,,,,,,,VERENA Admin,7/19/2021 11:59am
2,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""",Subudhi et al.,J Gen Virol,2017,47,17,0.361702,Myotis lucifugus,alphacoronavirus,Colacovirus,bat,Myl-CoV CDPHE15,repeat,longitudinal,RNA,semi-nested RT-PCR,multiple,,RdRp,,intestines,Canada,Manitoba,,,,2011,,,,,winter,,,,,,VERENA Admin,7/19/2021 11:59am
3,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""",Subudhi et al.,J Gen Virol,2017,127,36,0.283465,Myotis lucifugus,alphacoronavirus,Colacovirus,bat,Myl-CoV CDPHE15,repeat,longitudinal,RNA,semi-nested RT-PCR,multiple,,RdRp,,intestines,Canada,Manitoba,,,,2012,,,,,winter,,,,,,VERENA Admin,7/19/2021 11:59am
4,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""",Subudhi et al.,J Gen Virol,2017,174,5,0.028736,Myotis lucifugus,alphacoronavirus,Colacovirus,bat,Myl-CoV CDPHE15,pooled,longitudinal,IHC,,,,,,lung,Canada,Manitoba,,,,,2011,,2012,,winter,,,,,,VERENA Admin,7/19/2021 11:59am
9,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,11,10,0.909091,Rhinolophus ferrumequinum,betacoronavirus ,Sarbecovirus,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Modena ,San Cesario sul Panaro,,,2009,,,,,August,,,,,,Binqi Chen,3/13/2021 5:57pm
10,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,1,0,0,Rhinolophus ferrumequinum,alphacoronavirus or betacoronavirus or gammacoronavirus,,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Perugia,Sigillo,,,2009,,,,,September,,,,,,VERENA Admin,7/19/2021 10:50am
11,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,2,0,0,Rhinolophus ferrumequinum,alphacoronavirus or betacoronavirus or gammacoronavirus,,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Bologna,"Monte Croara, S. Lazzaro",,,2009,,,,,October,,,,,,VERENA Admin,7/19/2021 10:51am
12,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,10,0,0,Rhinolophus ferrumequinum,alphacoronavirus or betacoronavirus or gammacoronavirus,,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Cuneo,Piobesi d’Alba,,,2009,,,,,October,,,,,,VERENA Admin,7/19/2021 10:51am
