"","factor","taxa","tips","node","clade","other","check"
"1",1,"Rhinolophus osgoodi, Rhinolophus affinis, Rhinolophus coelophyllus, Rhinolophus shameli, Rhinolophus stheno, Rhinolophus rouxii, Rhinolophus thomasi, Rhinolophus sinicus, Rhinolophus megaphyllus, Rhinolophus borneensis, Rhinolophus lepidus, Rhinolophus pusillus, Rhinolophus rex, Rhinolophus macrotis, Rhinolophus malayanus, Rhinolophus rufus",16,637,1568.0625,182.302593659942,"more"
"2",2,"Hipposideros cervinus, Hipposideros pomona, Hipposideros cineraceus, Hipposideros ater, Hipposideros halophyllus, Hipposideros dyacorum, Hipposideros ruber, Hipposideros abae, Hipposideros caffer, Hipposideros fuliginosus",10,663,979.4,222.532577903683,"more"
"3",3,"Miniopterus",16,546,520.25,230.616714697406,"more"
"4",4,"Eonycteris, Rousettus, Epomops, Epomophorus, Micropteropus, Nanonycteris, Hypsignathus, Myonycteris",16,705,503.5,231.389048991354,"more"
"5",5,"Myotis escalerai, Myotis pequinius, Myotis chinensis, Myotis nattereri, Myotis punicus, Myotis myotis, Myotis blythii, Myotis bechsteinii, Myotis petax, Myotis macrodactylus, Myotis fimbriatus, Myotis pilosus, Myotis daubentonii",13,522,398.769230769231,237.611428571429,"more"
"6",6,"RHINOLOPHIDAE, HIPPOSIDERIDAE",36,619,217.666666666667,246.214067278287,"less"
"7",7,"Pipistrellus nanulus, Pipistrellus nathusii, Pipistrellus pygmaeus, Pipistrellus pipistrellus, Pipistrellus hesperidus, Pipistrellus kuhlii, Pipistrellus deserti, Pipistrellus tenuis, Pipistrellus javanicus, Pipistrellus abramus, Nyctalus",15,415,234.533333333333,243.764367816092,"less"
"8",8,"Centurio, Artibeus, Dermanura, Vampyressa, Platyrrhinus, Uroderma, Sturnira, Carollia",21,579,175.095238095238,247.576023391813,"less"
"9",9,"Eidolon, Pteropus, Acerodon",17,688,167.764705882353,247.098265895954,"less"
"10",10,"Glossophaga, Leptonycteris, Anoura, Hylonycteris, Choeroniscus, Trachops, Mimon, Phyllostomus, Tonatia, Phylloderma, Lophostoma, Chrotopterus",16,569,12.1875,254.043227665706,"less"
"11",11,"Corynorhinus, Euderma, Plecotus, Barbastella, Rhogeessa, Bauerus, Antrozous, Lasiurus, Parastrellus",18,465,25.8888888888889,254.730434782609,"less"
"12",12,"Rhinolophus capensis, Rhinolophus simulator, Rhinolophus denti, Rhinolophus blasii, Rhinolophus euryale, Rhinolophus mehelyi, Rhinolophus mossambicus, Rhinolophus fumigatus, Rhinolophus hildebrandtii, Rhinolophus darlingi, Rhinolophus ferrumequinum, Rhinolophus clivosus",12,623,318,240.831908831909,"more"
"13",13,"Coelops, Aselliscus, Hipposideros",12,659,247.25,243.250712250712,"more"
"14",14,"Scoteanax, Kerivoula, Harpiola, Murina, Scotorepens",12,488,21.0833333333333,250.982905982906,"less"
"15",15,"Neoromicia, Pipistrellus, Falsistrellus, Nyctophilus",14,434,34.1428571428571,251.776504297994,"less"
"16",16,"Tylonycteris, Nycticeinops, Vespadelus, Chalinolobus",10,431,198.8,244.645892351275,"less"
"17",17,"Scotophilus, Vespertilio, Glauconycteris, Eptesicus, Lasionycteris, Ia, Scotomanes",21,410,111.47619047619,251.482456140351,"less"
"18",18,"Myotis aurascens, Myotis ikonnikovi, Myotis altarium, Myotis dasycneme, Myotis muricola, Myotis secundus, Myotis occultus, Myotis horsfieldii, Myotis macropus, Myotis adversus, Myotis capaccinii, Myotis longipes, Myotis laniger, Myotis siligorensis, Myotis davidii",15,519,48.8666666666667,251.76724137931,"less"
"19",19,"MYSTACINIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE",13,561,47.7692307692308,250.648571428571,"less"
"20",20,"Mormopterus beccarii, Mormopterus norfolkensis, Tadarida brasiliensis, Otomops, Nyctinomops, Molossops, Cynomops, Molossus, Eumops, Tadarida teniotis, Tadarida australis, Mormopterus acetabulosus",17,391,55.4117647058824,252.618497109827,"less"
"21",21,"Myotis mystacinus, Myotis alcathoe, Myotis elegans, Myotis riparius, Myotis keaysi, Myotis yumanensis, Myotis velifer, Myotis nigricans, Myotis brandtii, Myotis volans, Myotis ciliolabrum, Myotis californicus, Myotis lucifugus, Myotis evotis, Myotis thysanodes",15,501,63.6,251.132183908046,"less"
"22",22,"PTEROPODIDAE",14,680,77.5,250.037249283668,"less"
"23",23,"MOLOSSIDAE",10,382,119.4,246.895184135977,"less"
